,Alt,Time,P,T,Hu,Ws,Wd,Long,Lat,Geopot,MRI,RI,Dewp.,Virt,Rs,Elevation,Azimuth,Range,D,U,V,Ufiltered,Vfiltered,Tpotential,bv2,TemperatureFiltered
3439,17380,4009.6,84.94,-60.9,2.0,31.14,311.0,-79.68350600000001,41.7181556,17327.0,2759.8588,31.2052,-86.86,-60.9,5.1,13.4,116.0,72426.0,0.1394638,20.42967816276439,23.501656328137127,2.2656513526013793,-2.964894372244985,431.6810003868131,0.0002921272414348704,-2.879651356432544
3440,17385,4010.6,84.9,-60.9,2.0,31.1,311.0,-79.68322540000001,41.7179716,17332.0,2760.604,31.1872,-86.9,-60.9,4.86,13.4,116.0,72456.0,0.1393818,20.403435801604772,23.471467944928218,2.265716747275072,-3.008286307902413,431.7391582223181,0.000264202830201332,-2.88561282668166
3441,17390,4011.6,84.84,-60.96,2.0,31.1,311.0,-79.682945,41.7177882,17337.0,2761.3336,31.1692,-86.9,-60.96,4.7,13.4,116.0,72486.6,0.1393004,20.403435801604772,23.471467944928218,2.2641156803457623,-3.0512434132487063,431.70496242464765,-0.00015535898283012374,-2.8913871733732432
3442,17395,4012.75,84.725,-61.0,2.0,31.025,311.0,-79.682623,41.717577,17342.0,2762.1687500000003,31.14925,-86.9,-61.0,4.7,13.4,116.0,72521.5,0.13920875,20.35423137443048,23.41486472641151,2.260835841323332,-3.0937393043484294,431.7914373684296,0.00039279588896338493,-2.896978272513847
3443,17400,4013.8,84.7,-61.08,2.0,31.0,311.0,-79.6823282,41.7173846,17347.0,2762.937,31.130599999999998,-86.98,-61.08,4.7,13.4,116.0,72553.0,0.1391234,20.337829898705717,23.39599698690594,2.2558674904842264,-3.135747872208918,431.66580871553566,-0.0005708101980875125,-2.9023901802468908
3444,17405,4014.8,84.61999999999999,-61.1,2.0,30.919999999999998,311.0,-79.682048,41.7172008,17352.0,2763.66,31.1126,-87.0,-61.1,4.7,13.4,116.0,72583.8,0.1390422,20.28534517638648,23.335620220488117,2.2492030444379254,-3.177243796160749,431.7419557756599,0.000345923094653058,-2.9076274994166997
3445,17410,4015.8,84.52,-61.18,2.0,30.9,311.0,-79.681768,41.7170176,17356.2,2764.3928,31.095399999999998,-87.0,-61.18,4.7,13.4,116.0,72614.0,0.1389604,20.272223995806666,23.320526028883663,2.2408369426232753,-3.218202724788535,431.72581419598555,-7.333118248131659e-05,-2.912695196827653
3446,17415,4017.0,84.5,-61.2,2.0,30.8,311.0,-79.681447,41.716815,17362.0,2765.291,31.074,-87.0,-61.2,4.9,13.4,116.0,72648.0,0.138863,20.20661809290762,23.245055070861387,2.2307655824508745,-3.258601368972705,431.7144901538806,-5.144646290138649e-05,-2.9175984323259043
3447,17420,4018.0,84.4,-61.2,2.0,30.8,311.0,-79.681182,41.716648,17367.0,2766.043,31.056,-87.0,-61.2,4.9,13.4,116.0,72677.0,0.138781,20.20661809290762,23.245055070861387,2.218987254120986,-3.2984175867394816,431.86072019334654,0.0006641154193817751,-2.9223420089545753
3448,17425,4019.0,84.3,-61.3,2.0,30.8,311.0,-79.680917,41.716482,17372.0,2766.81,31.037,-87.1,-61.3,4.9,13.4,116.0,72705.0,0.138698,20.20661809290762,23.245055070861387,2.2055026515237994,-3.3376297971936486,431.80430532227354,-0.00025624612287973917,-2.9269298639998786
